YearStart,LocationDesc,Average of 20 or more hours of care per week provided to a friend or family member,Fair or poor health among older adults with doctor-diagnosed arthritis,Mean number of days with activity limitations in the past month,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",Percentage of older adult men who are up to date with select clinical preventive services,Percentage of older adult women who are up to date with select clinical preventive services,Percentage of older adult women who have received a mammogram within the past 2 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,Percentage of older adults ever told they have arthritis,Percentage of older adults getting sufficient sleep (>6 hours),"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",Percentage of older adults who are eating 2 or more fruits daily,Percentage of older adults who are eating 3 or more vegetables daily,Percentage of older adults who are experiencing frequent mental distress,Percentage of older adults who had a cholesterol screening within the past 5 years,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,Percentage of older adults who have fallen and sustained an injury within last year,Percentage of older adults who have not had any leisure time physical activity in the past month,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,Percentage of older adults who provided care for a friend or family member within the past month,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,Percentage of older adults who provided care to a friend or family member for six months or more,"Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,Percentage of older adults who reported binge drinking within the past 30 days,Percentage of older adults who reported influenza vaccine within the past year,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""","Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",Percentage of older adults with a lifetime diagnosis of depression,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,Physically unhealthy days (mean number of days in past month),Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis
2015,Alabama,33.5,43.84666666666667,7.546666666666667,54.57333333333334,,,,,19.34,52.35,,38.1,18.540000000000003,9.893333333333334,12.326666666666666,92.66875,,90.93333333333334,63.1,,37.64375,17.75625,25.466666666666665,11.5,74.80666666666667,,,7.035714285714286,51.4125,32.3625,67.6375,22.6125,44.00666666666667,67.7,6.25,40.873333333333335
2015,Alaska,,32.81333333333333,5.800000000000001,56.60666666666667,,,,,,40.333333333333336,,34.46,30.166666666666668,19.53846153846154,8.946153846153846,87.93333333333334,,76.29333333333334,49.333333333333336,,31.40666666666667,17.773333333333333,,,,,,13.669230769230769,44.193333333333335,21.779999999999998,78.22,16.12142857142857,,62.67333333333333,4.953333333333333,
2015,Arizona,,40.593333333333334,6.375,57.6764705882353,,,,,,39.78,,30.605882352941173,29.99473684210526,18.506666666666668,10.48125,90.255,,84.63125,49.455,,29.105555555555554,13.65625,,,,,,8.285714285714286,43.38947368421052,29.626315789473683,71.455,20.441176470588236,40.83846153846154,,5.622222222222223,31.493333333333332
2015,Arkansas,,45.78,8.06,57.22666666666667,,,,,,49.1375,,35.8375,22.95625,13.13076923076923,13.264285714285714,91.625,,91.12666666666668,64.35,,39.28666666666666,18.707142857142856,,,,,,7.536363636363637,47.8,36.625,63.375,23.392857142857142,38.353846153846156,,6.53125,37.17333333333333
2015,California,,38.63333333333333,6.34,55.67999999999999,,,,,,37.16818181818182,,25.976190476190474,34.4,20.08095238095238,10.844444444444443,91.3409090909091,,86.10952380952381,50.86363636363637,,21.61904761904762,10.123529411764705,,,,,,9.41764705882353,50.37619047619048,27.276190476190475,73.45,14.799999999999999,43.73636363636364,,5.240909090909091,34.28333333333333
2015,Colorado,,31.86875,5.7875,63.682352941176475,,,,,,42.315,,24.27777777777778,32.752631578947366,18.5,8.16875,90.28947368421052,,83.78888888888889,45.295,,23.155555555555555,17.883333333333333,,,,,,9.114285714285714,52.464999999999996,23.565,76.435,20.383333333333333,46.725,,5.16,25.95
2015,Connecticut,,35.75555555555556,5.833333333333333,57.766666666666666,,,,,,39.56111111111111,,29.82222222222222,34.605000000000004,15.836842105263157,10.476470588235294,93.71000000000001,,84.6,51.8,,28.875,12.805882352941175,,,,,,9.25625,53.995000000000005,25.549999999999997,76.53,17.283333333333335,,,5.033333333333333,30.522222222222222
2015,Delaware,,33.21333333333333,6.1,58.84,,,,,,46.14375,,32.23125,30.79375,15.5,9.85,93.06875,,87.88666666666667,55.456250000000004,,33.875,16.62857142857143,,,,,,8.392307692307693,53.4375,23.34375,76.65625,17.513333333333332,,,4.6875,31.89333333333333
2015,District of Columbia,,32.16428571428572,5.986666666666666,55.88,,,,,,40.61333333333334,,29.6,36.36,21.14,9.313333333333333,93.1125,,88.58666666666666,53.233333333333334,,23.5,17.39333333333333,,,,,,9.093333333333334,48.22666666666667,20.366666666666667,79.175,19.546666666666667,49.36923076923077,72.24666666666667,4.826666666666667,40.107142857142854
2015,Florida,32.01538461538461,38.32222222222222,7.055555555555555,54.43888888888889,,,,,21.91111111111111,42.544444444444444,,30.33888888888889,32.27777777777778,17.555555555555557,12.788888888888888,92.22105263157896,,89.90555555555555,52.67894736842105,,32.49444444444444,14.823529411764707,22.950000000000003,8.0125,67.22142857142858,,,9.366666666666667,37.31666666666667,26.533333333333335,74.13157894736842,18.26111111111111,48.23636363636364,,5.638888888888889,36.77222222222222
